"ID";"EigenaarBewoner";"KenmerkenVanHuishoudens";"Perioden";"ParticuliereHuishoudens_1";"GemiddeldeHypotheekschuldEigenWoning_2";"GemiddeldeWaardeEigenWoning_3";"GemiddeldBrutoInkomen_4";"GemiddeldBesteedbaarInkomen_5";"HypotheekschuldWoningwaarde_6";"HypotheekschuldBrutoInkomen_7";"HypotheekschuldBesteedbaarInkomen_8";"GeenSchuld_9";"k_0Tot07_10";"k_07Tot08_11";"k_08Tot09_12";"k_09Tot10_13";"k_1OfHoger_14";"GeenSchuld_15";"k_0Tot2_16";"k_2Tot4_17";"k_4OfHoger_18";"GeenSchuld_19";"k_0Tot35_20";"k_35Tot7_21";"k_7OfHoger_22"
"1389";"A050412";"1013900";"2019JJ00";"    11.4";"   105.3";"   207.0";"    27.6";"    21.8";"    0.53";"     3.6";"     4.5";"     0.0";"     7.6";"     1.1";"     0.9";"     0.7";"     1.0";"     0.0";"     2.8";"     3.5";"     5.1";"     0.0";"     4.2";"     4.1";"     3.0"
"1390";"A050412";"1013900";"2020JJ00";"    16.3";"   136.1";"   261.9";"    27.1";"    21.8";"    0.53";"     4.4";"     5.3";"     0.0";"    11.4";"     1.7";"     1.3";"     0.9";"     1.1";"     0.0";"     3.3";"     4.2";"     8.8";"     0.0";"     5.1";"     5.6";"     5.7"
"1391";"A050412";"1013900";"2021JJ00";"    12.9";"   124.0";"   274.0";"    28.6";"    22.9";"    0.46";"     3.8";"     4.7";"     0.0";"    10.3";"     1.1";"     0.7";"     0.4";"     0.4";"     0.0";"     3.1";"     3.7";"     6.2";"     0.0";"     4.6";"     4.4";"     3.8"
"1392";"A050412";"1013950";"2006JJ00";"     3.0";"    72.2";"   162.0";"       .";"       .";"    0.41";"       .";"       .";"     0.0";"     2.1";"     0.2";"     0.2";"     0.2";"     0.4";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1393";"A050412";"1013950";"2007JJ00";"     3.0";"    73.7";"   169.7";"       .";"       .";"    0.40";"       .";"       .";"     0.0";"     2.1";"     0.2";"     0.2";"     0.2";"     0.3";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1394";"A050412";"1013950";"2008JJ00";"     2.8";"    82.1";"   181.5";"       .";"       .";"    0.44";"       .";"       .";"     0.0";"     2.0";"     0.2";"     0.2";"     0.2";"     0.2";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1395";"A050412";"1013950";"2009JJ00";"     2.2";"    86.2";"   175.3";"       .";"       .";"    0.49";"       .";"       .";"     0.0";"     1.4";"     0.1";"     0.2";"     0.2";"     0.3";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1396";"A050412";"1013950";"2010JJ00";"     2.4";"    96.3";"   157.7";"       .";"       .";"    0.63";"       .";"       .";"     0.0";"     1.3";"     0.2";"     0.2";"     0.2";"     0.6";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1397";"A050412";"1013950";"2011JJ00";"     3.5";"   114.9";"   162.1";"    20.7";"    16.4";"    0.77";"     5.1";"     6.3";"     0.0";"     1.5";"     0.3";"     0.3";"     0.3";"     1.0";"     0.0";"     0.7";"     0.7";"     2.1";"     0.0";"     1.0";"     0.9";"     1.6"
"1398";"A050412";"1013950";"2012JJ00";"     4.3";"   125.6";"   157.3";"    20.6";"    16.4";"    0.86";"     5.6";"     7.0";"     0.0";"     1.6";"     0.3";"     0.3";"     0.4";"     1.6";"     0.0";"     0.6";"     0.8";"     2.8";"     0.0";"     1.0";"     1.2";"     2.1"
